Search Term,Match Score,Status,Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages
124 COCOANUT LLC,1.00,Filed,06/06/2024,06/06/2029,02/23/2026,202401501744,0,1,"KHRE SMA FUNDING, LLC","C/O KNIGHTHEAD FUNDING, LLC, 777 W. PUTNAM AVENUE, 3RD FL, SUITE B-2, GREENWICH, CT, 06830",,,,,,,,,1,124 COCOANUT LLC,"125 WORTH AVENUE, SUITE 200, PALM BEACH, FL, 33480",UCC1,4
"1240 NE 13TH AVENUE, LLC",1.00,Lapsed,10/21/2020,10/21/2025,02/23/2026,202005109701,0,1,"KENNETH E. FABRY MARITAL DEDUCTION TRUST A DATED APRIL 30, 2004","3149 HWY H, LAC DU FLAMBEAU, WI, 54538",,,,,,,,,1,"1240 NE 13TH AVENUE, LLC","PO BOX 7415, FORT LAUDERDALE, FL, 33338",UCC1,2
"1241 NE 14TH AVENUE, LLC",1.00,Lapsed,10/21/2020,10/21/2025,02/23/2026,202005109671,0,1,"KENNETH E. FABRY MARITAL DEDUCTION TRUST A DATED APRIL 30, 2004","3149 HWY H, LAC DU FLAMBEAU, WI, 54538",,,,,,,,,1,"1241 NE 14TH AVENUE, LLC","PO BOX 7415, FORT LAUDERDALE, FL, 33338",UCC1,2
"12450 CENTRAL BLVD., LLC",1.00,Filed,02/02/2024,02/02/2029,02/23/2026,202400295121,0,1,CONNECTONE BANK,"301 SYLVAN AVENUE, ENGLEWOOD CLIFFS, NJ, 07632",,,,,,,,,1,"12450 CENTRAL BLVD., LLC","340 ROYAL POINCIANA WAY, SUITE 317-220, PALM BEACH, FL, 33480",UCC1,7
124 COCOANUT LLC,1.00,Filed,06/06/2024,06/06/2029,02/23/2026,202401501744,0,1,"KHRE SMA FUNDING, LLC","C/O KNIGHTHEAD FUNDING, LLC, 777 W. PUTNAM AVENUE, 3RD FL, SUITE B-2, GREENWICH, CT, 06830",,,,,,,,,1,124 COCOANUT LLC,"125 WORTH AVENUE, SUITE 200, PALM BEACH, FL, 33480",UCC1,4
"1285 , LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"128 OCEAN VIEW, LLC",1.00,Lapsed,07/16/2004,07/16/2009,02/23/2026,20040743432X,2,1,PALM BEACH COUNTY BANK,"2130 CENTREPARK WEST DRIVE, WEST PALM BEACH, FL, 33409",,,,,,,,,2,"128 OCEAN VIEW, LLC","324 ROYAL PALM WAY, PALM BEACH, FL, 33450",UCC1,2
130 ALGOMA LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
130 BRAZILIAN PB LLC,0.00,No results,,,,,,,,,,,,,,,,,,,,,
"1338, LLC",0.62,Filed,03/18/2024,03/18/2029,02/23/2026,202400692392,2,2,ACCOLEND LLC,"310 CEDAR LANE, SUITE 3A, TEANECK, NJ, 07666",ATHENE ANNUITY AND LIFE COMPANY,"2121 ROSECRAND AVENUE, SUITE 5300, EL SEGUNDO, CA, 90245",,,,,,,1,1338 WEST LANE LLC,"59 MYRTLE ROAD, NAPLES, FL, 34108",UCC1,3
1377 LLC,0.00,No results,,,,,,,,,,,,,,,,,,,,,
1404NORTHLAKE LLC,1.00,Lapsed,02/04/2019,02/04/2024,02/23/2026,201907608905,0,1,"KHRE SMA FUNDING, LLC","33 BENEDICT PLACE, GREENWICH, CT, 06830",,,,,,,,,1,1404NORTHLAKE LLC,"222 LAKEVIEW AVE, SUITE 1500, WEST PALM BEACH, FL, 33401",UCC1,1
1404NORTHLAKE LLC,1.00,Lapsed,12/23/2020,12/23/2025,02/23/2026,202005697611,0,1,"KHRE SMA FUNDING, LLC","777 WEST PUTNAM AVENUE, SUITE 1-3, GREENWICH, CT, 06830",,,,,,,,,1,1404NORTHLAKE LLC,"222 LAKEVIEW AVENUE, SUITE 1500, WEST PALM BEACH, FL, 33401",UCC1,4
1450 HOLDINGS LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
1450 HOLDINGS LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"1460 N LAKE WAY, LLC",1.00,Filed,07/20/2021,07/20/2026,02/23/2026,202107796716,1,1,"KHRE SMA FUNDING, LLC","777 W. PUTNAM AVE., 3RD FLOOR, SUITE B-2, GREENWICH, CT, 06830",,,,,,,,,5,"1460 N LAKE WAY, LLC","440 ROYAL PALM WAY STE 101, PALM BEACH, FL, 33480",UCC1,5
"1460 N LAKE WAY, LLC",1.00,Filed,06/27/2023,06/27/2028,02/23/2026,202301761167,2,1,"IBORROW CREDIT II, LP, AS ADMINISTRATIVE AGENT","12100 WILSHIRE BOULEVARD, SUITE 510, LOS ANGELES, CA, 90025",,,,,,,,,3,"1460 N LAKE WAY, LLC","440 ROYAL PALM BEACH WAY, SUITE 101, PALM BEACH, FL, 33480",UCC1,6
149 BRAZILIAN LLC.,0.00,No results,,,,,,,,,,,,,,,,,,,,,
1509 FLORIDA LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"1510 NORTH LAKE WAY, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"155 BRAZILIAN, LLC",0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"1600 SOUTH DIXIE, LLC",1.00,Lapsed,06/10/2016,06/10/2021,02/23/2026,201607842090,0,1,FINEMARK NATIONAL BANK & TRUST,"12681 CREEKSIDE LANE, FORT MYERS, FL, 33919",,,,,,,,,3,"424 PALM, LLC","424 PALM ST., PALM BEACH, FL, 33401",UCC1,5
"1604 WPB, LLC",1.00,Lapsed,08/16/2004,08/16/2014,02/23/2026,200407663914,2,1,"WACHOVIA BANK, N.A.","214 NORTH HOGAN STREET, FL0070, JACKSONVILLE, FL, 32202",,,,,,,,,1,"1604 WPB, LLC","306 ROYAL POINCIANA WAY, PALM BEACH, FL, 33480",UCC1,2
1620 SOUTH OCEAN LLC,1.00,Lapsed,04/03/2003,04/03/2008,02/23/2026,200303646673,1,1,"UNION PLANTERS BANK, N.A.","1489 WEST PALMETTO PARK ROAD, 3RD FLOOR, BOCA RATON, FL, 33486",,,,,,,,,1,1620 SOUTH OCEAN LLC,"141 N.W. 20TH STREET, UNIT B-5, BOCA RATON, FL, 33431",UCC1,3
1734 PERUVIAN CORPORATION,1.00,Lapsed,11/06/1995,11/06/2000,02/23/2026,950000223345,1,1,ISLAND NATIONAL BANK AND TRUST COMPANY,"180 ROYAL PALM WAY, PALM BEACH, FL, 33480",,,,,,,,,1,1734 PERUVIAN CORPORATION,"PO BOX 2715, PALM BEACH, FL, 33480",UCC1,7
"176 DOUGLASS STREET,  LLC",0.98,Filed,10/03/2017,10/03/2027,02/23/2026,201702817561,1,1,INVESTORS BANK,"ATTN: LOAN SERVICING, 101 JFK PARKWAY, SHORT HILLS , NJ, 07078",,,,,,,,,3,"102 BERGEN STREET, LLC","2000 SOUTH OCEAN BLVD., APT. 307S , PALM BEACH , FL, 33480",UCC1,10
"176 DOUGLASS STREET,  LLC",0.98,Filed,10/03/2017,10/03/2027,02/23/2026,201702817561,1,1,INVESTORS BANK,"ATTN: LOAN SERVICING, 101 JFK PARKWAY, SHORT HILLS , NJ, 07078",,,,,,,,,3,"102 BERGEN STREET, LLC","2000 SOUTH OCEAN BLVD., APT. 307S , PALM BEACH , FL, 33480",UCC1,10
"1813 VENTURES, LLC",1.00,Lapsed,02/11/2019,02/11/2024,02/23/2026,201907668576,0,1,COMERICA BANK,"39200 SIX MILE ROAD, LIVONIA, MI, 48152",,,,,,,,,1,"1813 VENTURES, LLC","208 WESTMINSTER ROAD, WEST PALM BEACH, FL, 33405",UCC1,3
"1813 VENTURES, LLC",1.00,Lapsed,02/26/2019,02/26/2024,02/23/2026,201907888185,1,1,COMERICA BANK,"39200 SIX MILE ROAD, MC 7578, LIVONIA, MI, 48152",,,,,,,,,1,"1813 VENTURES, LLC","208 WESTMINISTER ROAD, WEST PALM BEACH, FL, 33405",UCC1,3
"191 BRADLEY PLACE PARTNERS, INC.",1.00,Lapsed,07/02/1999,07/02/2004,02/23/2026,990000149768,0,1,HOME FEDERAL BANK OF HOLLYWOOD,"1600 SOUTH FEDERAL HWY, HOLLYWOOD, FL, 33020",,,,,,,,,1,"191 BRADLEY PLACE PARTNERS, INC.","191 BRADLEY PLACE, PALM BEACH, FL, 33480",UCC1,2
"1960 OKEECHOBEE BLVD., LLC",1.00,Filed,09/04/2019,09/04/2029,02/23/2026,20190957384X,1,1,LEGACY BANK OF FLORIDA,"2300 GLADES ROAD, SUITE 140W, BOCA RATON, FL, 33431",,,,,,,,,1,"1960 OKEECHOBEE BLVD., LLC","1027 N. FLORIDA MANGO ROAD, SUITE 6, WEST PALM BEACH, FL, 33431",UCC1,6
1 ENTERPRISE DRIVE LLC,1.00,Filed,11/23/2021,11/23/2026,02/23/2026,202109249143,2,1,"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS TRUSTEE,*","1100 NORTH MARKET STREET, WILMINGTON, DE, 19890",,,,,,,,,1,1 ENTERPRISE DRIVE LLC,"2315 IBIS ISLE ROAD E , PALM BEACH , FL, 33480",UCC1,5
1 ENTERPRISE DRIVE LLC,0.81,Filed,09/19/2024,09/19/2029,02/23/2026,202402483847,0,1,"C T CORPORATION SYSTEM, AS REPRESENTATIVE","330 N BRAND BLVD, SUITE 700; ATTN: SPRS, GLENDALE, CA, 91203",,,,,,,,,2,"1 ENTERPRISE MAS, LLC","7245 CHANCERY LANE, ORLANDO, FL, 32809",UCC1,2
1ST UNITED BANK,0.00,No results,,,,,,,,,,,,,,,,,,,,,
"THE 2000 CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,08/20/2004,08/20/2019,02/23/2026,200407706303,5,1,"PNC BANK, NATIONAL ASSOCIATION","249 FIFTH AVE., MS P1-POPP-BL-7, PITTSBURGH, PA, 15222",,,,,,,,,1,"THE 2000 CONDOMINIUM ASSOCIATION, INC.","2000 S. OCEAN BLVD.., PALM BEACH, FL, 33480",UCC1,1
"THE 2000 CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,10/03/2013,10/03/2023,02/23/2026,201309959909,3,1,"WELLS FARGO BANK, N.A.","P.O. BOX 2705, WINSTON-SALEM, NC, 27101-0101",,,,,,,,,1,"THE 2000 CONDOMINIUM ASSOCIATION, INC.","2000 SOUTH OCEAN BLVD, PALM BEACH, FL, 33480-5206",UCC1,1
"2000 FLORIDA MANGO, INC.",1.00,Filed,06/06/2020,06/06/2030,02/23/2026,202002060132,1,1,U.S. SMALL BUSINESS ADMINISTRATION,"2 NORTH STREET, SUITE 320, BIRMINGHAM, AL, 35203",,,,,,,,,1,"2000 FLORIDA MANGO, INC.","3250 S OCEAN BLVD APT 106N, PALM BEACH, FL, 33480",UCC1,1
"2000 FLORIDA MANGO, INC.",0.80,Lapsed,04/20/2000,04/20/2005,02/23/2026,200000092795,1,1,DOROTHY CRALLE SAMSON FAMILY TRUST,"226 HILLCREST ST, ORLANDO, FL, 32801",,,,,,,,,2,2000 FLORIDA STORES INC,"4270 ALOMA AVE, WINTER PARK, FL, 32792",UCC1,1
"200 BAHAMA, LLC",1.00,Filed,06/08/2021,06/08/2026,02/23/2026,202107328844,1,1,FLAGLER BANK,"555 NORTHLAKE BOULEVARD, SUITE 200, NORTH PALM BEACH, FL, 33408",,,,,,,,,1,"200 BAHAMA, LLC","249 PERUVIAN AVENUE, SUITE F-2, PALM BEACH, FL, 33480",UCC1,2
"200 CLARKE AVENUE, LLC",1.00,Lapsed,04/04/2005,04/04/2010,02/23/2026,200509352276,1,1,"WACHOVIA BANK, NATIONAL ASSOCIATION","3601 PGA BOULEVARD, SUITE 200, PALM BEACH GARDENS, FL, 33410",,,,,,,,,1,"200 CLARKE AVENUE, LLC","C/O STF PALM BEACH, INC., 999 INDIAN ROAD, PALM BEACH, FL, 33480",UCC1,3
"202 GOMEZ ROAD, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"202 GOMEZ ROAD, LLC",1.00,Lapsed,09/08/2010,09/08/2015,02/23/2026,201003172200,0,1,FIFTH THIRD BANK,"999 VANDERBILT BEACH ROAD, B9997E, NAPLES, FL, 34108",,,,,,,,,1,"202 GOMEZ ROAD, LLC","1300 N. MANGO ROAD, SUITE 15, WEST PALM BEACH, FL, 33409",UCC1,1
"202 GOMEZ ROAD, LLC",1.00,Lapsed,12/30/2005,12/30/2015,02/23/2026,200501523756,3,1,FIFTH THIRD BANK,"999 VANDERBILT BEACH ROAD 1MOC2A, NAPLES, FL, 34108",,,,,,,,,1,"202 GOMEZ ROAD, LLC","400 ROYAL PALM WAY, SUITE 304, PALM BEACH, FL, 33480",UCC1,7
"204 RPW, LLC",1.00,Lapsed,11/12/2015,11/12/2020,02/23/2026,201505693762,0,1,FIRST REPUBLIC BANK,"111 PINE STREET, SAN FRANCISCO, CA, 94111",,,,,,,,,1,"204 RPW, LLC","251 ROYAL PALM WAY, SUITE 215, PALM BEACH, FL, 33480",UCC1,4
"205 ROYAL PALM WAY, LLC",1.00,Lapsed,02/08/2016,02/08/2021,02/23/2026,201606444652,1,1,COMERICA BANK,"1675 MILITARY TRAIL, 6TH FLOOR, BOCA RATON, FL, 33486",,,,,,,,,1,"205 ROYAL PALM WAY, LLC","222 LAKEVIEW AVENUE, SUITE 1550, WEST PALM BEACH, FL, 33401",UCC1,2
208 ANGLER LLC,0.00,No results,,,,,,,,,,,,,,,,,,,,,
208 SANDPIPER LLC,0.85,Lapsed,08/25/2004,08/25/2009,02/23/2026,20040773627X,1,1,MERCANTILE BANK,"200 E. LAS OLAS BLVD., SUITE 1820, FT. LAUDERDALE, FL, 33301",,,,,,,,,1,"208 SANDPIPER DRIVE, LLC","208 SANDPIPER DRIVE, PALM BEACH, FL, 33480",UCC1,4
"THE 2100 CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,06/06/2005,06/06/2015,02/23/2026,200509859222,1,1,"WACHOVIA BANK, NATIONAL ASSOCIATION","225 WATER STREET, JACKSONVILLE, FL, 32202",,,,,,,,,1,"THE 2100 CONDOMINIUM ASSOCIATION, INC.","2100 S. OCEAN BLVD., PALM BEACH, FL, 33480",UCC1,2
"THE 2100 CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,03/03/2015,03/03/2020,02/23/2026,201503190380,1,1,"WELLS FARGO BANK, N.A.","P.O. BOX 2705, WINSTON-SALEM, NC, 27101-0101",,,,,,,,,1,"THE 2100 CONDOMINIUM ASSOCIATION, INC.","2100 S. OCEAN BLVD., PALM BEACH, FL, 33480",UCC1,1
"210 OSCEOLA WAY, LLC",1.00,Filed,05/25/2021,05/25/2026,02/23/2026,202107190567,1,1,FLAGLER BANK,"555 NORTHLAKE BOULEVARD, SUITE 200, NORTH PALM BEACH, FL, 33408",,,,,,,,,1,"210 OSCEOLA WAY, LLC","250 QUEENS LANE, PALM BEACH, FL, 33480",UCC1,2
"210 WEST INDIES, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"211 CAPITAL, LLC",1.00,Lapsed,02/28/2017,02/28/2022,02/23/2026,201700435823,0,1,"CORPORATION SERVICE COMPANY, AS REPRESENTATIVE","PO BOX 2576, UCCSPREP@CSCINFO.COM, SPRINGFIELD, IL, 62708",,,,,,,,,2,211 CAPITAL LLC,"3170 S OCEAN BLVD, PALM BEACH, FL, 33480",UCC1,1
211 OCEAN TERRACE LLC,1.00,Lapsed,12/18/2013,12/18/2018,02/23/2026,201300410556,1,1,"SABADELL UNITED BANK, A NATIONAL BANKING ASSOCIATION","1111 BRICKELL AVENUE, 30TH FLOOR, MIAMI, FL, 33131",,,,,,,,,4,201 OCEAN TERRACE LLC,"222 LAKEVIEW AVENUE, SUITE 1500, WEST PALM BEACH, FL, 33401",UCC1,4
2200 OKEECHOBEE BLVD LLC,1.00,Filed,04/02/2021,04/02/2031,02/23/2026,202106660438,1,1,CITY NATIONAL BANK OF FLORIDA,"100 S.E. 2ND STREET, 13TH FLOOR, MIAMI, FL, 33131",,,,,,,,,1,2200 OKEECHOBEE BLVD LLC,"340 ROYAL POINCIANA WAY, SUITE M314, PALM BEACH, FL, 33480",UCC1,5
"220 PB, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"220 PB, LLC",1.00,Filed,05/03/2021,05/03/2026,02/23/2026,202106951238,0,1,CONNECTONE BANK,"301 SYLVAN AVE, ENGLEWOOD CLIFFS, NJ, 07632",,,,,,,,,1,"220 PB, LLC","235 BANYAN ROAD, PALM BEACH, FL, 33480",UCC1,5
"221 RPW, LLC",1.00,Lapsed,02/05/2008,02/05/2013,02/23/2026,200807581079,0,1,"POTOMAC REALTY CAPITAL, LLC","75 SECOND AVENUE, SUITE 605, NEEDHAM, MA, 02494",,,,,,,,,1,"221 RPW, LLC","250 ROYAL PALM WAY, BOCA RATON, FL, 32480",UCC1,2
2295 SOUTH OCEAN BOULEVARD CORP,0.00,No results,,,,,,,,,,,,,,,,,,,,,
"231 NIGHTINGALE TRAIL, LLC",1.00,Lapsed,06/11/2007,06/11/2012,02/23/2026,200705746524,3,1,"WACHOVIA BANK, NATIONAL ASSOCIATION","3601 PGA BOULEVARD, SUITE 200, PALM BEACH GARDENS, FL, 33410",,,,,,,,,1,"231 NIGHTINGALE TRAIL, LLC","221 EL BRAVO WAY, PALM BEACH, FL, 33480",UCC1,4
234 OLEANDER FLORIDA LLC,1.00,Lapsed,04/17/2007,04/17/2017,02/23/2026,200705316198,2,1,VIRGINIA COMMERCE BANK,"5350 LEE HIGHWAY, ARLINGTON, VA, 22207",,,,,,,,,1,234 OLEANDER FLORIDA LLC,"4915 AUBURN AVE, STE 200, BETHESDA, MD, 20814",UCC1,5
234 OLEANDER FLORIDA LLC,1.00,Lapsed,04/17/2007,04/17/2017,02/23/2026,200705316198,2,1,VIRGINIA COMMERCE BANK,"5350 LEE HIGHWAY, ARLINGTON, VA, 22207",,,,,,,,,1,234 OLEANDER FLORIDA LLC,"4915 AUBURN AVE, STE 200, BETHESDA, MD, 20814",UCC1,5
235 VIA VIZCAYA LLC,1.00,Lapsed,12/10/2018,12/10/2023,02/23/2026,201807201536,0,1,IBERIABANK,"1101 EAST ADMIRAL DOYLE DRIVE,, P.O. BOX 12440, NEW IBERIA, LA, 70562-2440",,,,,,,,,1,235 VIA VIZCAYA LLC,"340 ROYAL POINCIANA WAY #317-337, PALM BEACH, FL, 33480",UCC1,1
236 PHIPPS PLAZA PROPERTIES PARTNERS LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
2410 LLC,0.62,Lapsed,04/07/2008,04/07/2018,02/23/2026,200808030653,4,1,"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR THE REGISTERED HOLDERS OF CI","209 SOUTH LASALLE STREET, STE 300, CHICAGO, IL, 60604",,,,,,,,,1,"2410 RIDGEWOOD, LLC","5111 RIDGEWOOD AVENUE, SUITE 300, PORT ORANGE, FL, 32127",UCC1,4
2410 LLC,0.80,Lapsed,03/24/2016,03/24/2021,02/23/2026,201607037406,1,1,CORNERSTONE COMMUNITY BANK,"6300 4TH STREET NORTH, ST PETERSBURG, FL, 33702",,,,,,,,,1,"2410-12-14, LLC","P.O. BOX 7598, ST. PETERSBURG, FL, 33734",UCC1,4
241 JUNGLE ROAD #2 LLC,1.00,Lapsed,05/11/2020,05/11/2025,02/23/2026,202001569392,0,1,"MAXIM CREDIT GROUP, LLC","660 MADISON AVENUE, SUITE 1700, NEW YORK, NY, 10065",,,,,,,,,1,241 JUNGLE ROAD #2 LLC,"223 PERUVIAN AVENUE, PALM BEACH, FL, 33480",UCC1,4
"249 ROYAL POINCIANA WAY, LLC",1.00,Lapsed,09/13/2018,09/13/2023,02/23/2026,201806500033,1,1,CENTENNIAL BANK,"P.O. BOX 906, CONWAY, AR, 72033",,,,,,,,,1,"249 ROYAL POINCIANA WAY, LLC","222 LAKEVIEW AVENUE, SUITE 1550, WEST PALM BEACH, FL, 33401",UCC1,3
2500 SOUTH OCEAN BOULEVARD,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"2500 SOUTH OCEAN BOULEVARD CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,09/04/2012,09/04/2017,02/23/2026,201207448417,2,1,VALLEY NATIONAL BANK,"1455 VALLEY ROAD, WAYNE, NJ, 07470",,,,,,,,,1,"2500 SOUTH OCEAN BOULEVARD CONDOMINIUM ASSOCIATION, INC.","2500 SOUTH OCEAN BOULEVARD, PALM BEACH, FL, 33480",UCC1,1
"2500 SOUTH OCEAN BOULEVARD CONDOMINIUM ASSOCIATION, INC.",1.00,Lapsed,07/07/2015,07/07/2020,02/23/2026,201504323457,0,1,US SMALL BUSINESS ADMINISTRATION,"801 TOM MARTIN DR., STE. 120, BIRMINGHAM, AL, 35211",,,,,,,,,1,"2500 SOUTH OCEAN BOULEVARD CONDOMINIUM ASSOCIATION, INC.","2500 S OCEAN BLVD., BLDG 2, PALM BEACH, FL, 33480",UCC1,1
"251 DUNBAR, LLC",1.00,Lapsed,05/29/2018,05/29/2023,02/23/2026,201805367011,1,1,TREZ CAPITAL (FLORIDA) CORPORATION,"#1550-1185 W. GEORGIA STREET, VANCOUVER BC V6E 4E6 CANADA",,,,,,,,,1,"251 DUNBAR, LLC","170 DUNBAR ROAD, PALM BEACH, FL, 33480",UCC1,4
"251 DUNBAR, LLC",1.00,Lapsed,11/05/2018,11/05/2023,02/23/2026,201806946929,0,1,FIRST REPUBLIC BANK,"111 PINE STREET, SAN FRANCISCO, CA, 94111",,,,,,,,,1,"251 DUNBAR, LLC","251 DUNBAR ROAD, PALM BEACH, FL, 33480",UCC1,7
"251 PARTNERS, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"255 BAHAMA LANE, LLC",1.00,Lapsed,04/11/2014,04/11/2019,02/23/2026,201401208043,0,1,"SABADELL UNITED BANK, A NATIONAL BANKING ASSOCIATION","1111 BRICKELL AVENUE, 30TH FLOOR, MIAMI, FL, 33131",,,,,,,,,2,"255 BAHAMA LANE, LLC","C/O MADDOCK, 317 PERUVIAN AVENUE, SUITE 204, PALM BEACH, FL, 33480",UCC1,1
"255 BAHAMA LANE, LLC",1.00,Filed,07/01/2014,07/01/2029,02/23/2026,201401728020,2,1,"SABADELL UNITED BANK, N.A.","1111 BRICKELL AVENUE, 30TH FLOOR, MIAMI, FL, 33131-3128",,,,,,,,,1,"255 BAHAMA LANE, LLC","317 PERUVIAN, SUITE 204, PALM BEACH, FL, 33480",UCC1,1
